Date;Coffee Type;Coffee Number;Caffeine Amount (mg);Course Load (min);Exam Number (that week)
17.03.2025;americano-2 latte-1;3;300;150;1
18.03.2025;americano-2;2;300;350;1
19.03.2025;americano;1;150;100;1
20.03.2025;;0;0;0;1
21.03.2025;americano-3;3;350;0;1
22.03.2025;latte;1;120;100;1
23.03.2025;latte-2 americano-1;3;390;250;1
24.03.2025;americano;1;150;150;1
25.03.2025;americano-1 latte-1 matcha-1;3;350;350;1
26.03.2025;americano-1 latte-1 matcha-1;3;350;100;1
27.03.2025;;0;0;0;1
28.03.2025;americano;1;150;0;1
29.03.2025;;0;;100;1
30.03.2025;americano;1;150;250;1
31.03.2025;americano-2 matcha-2;4;460;150;1
1.04.2025;;0;0;350;0
2.04.2025;;0;0;100;0
3.04.2025;;0;0;0;0
4.04.2025;;0;0;0;0
5.04.2025;americano;1;150;100;0
6.04.2025;americano-2;2;300;250;0
7.04.2025;matcha;1;80;150;0
8.04.2025;americano;1;150;350;2
9.04.2025;americano-2;2;300;100;2
10.04.2025;americano;1;150;0;2
11.04.2025;matcha-2 ;2;160;0;2
12.04.2025;americano;1;150;100;2
13.04.2025;;0;0;250;2
14.04.2025;americano-2 matcha-1;3;300;150;2
15.04.2025;americano;1;150;350;0
16.04.2025;americano-1 matcha-2;3;150;100;0
17.04.2025;americano;1;150;0;0
18.04.2025;americano-1 matcha-1;2;150;0;0
19.04.2025;;0;0;100;0
20.04.2025;;0;0;250;0
21.04.2025;americano;1;150;150;0
22.04.2025;americano-1 matcha-1;2;230;350;0
23.04.2025;matcha-2 americano-2;4;310;100;0
24.04.2025;americano-2 latte-2 matcha-1;5;620;0;0
25.04.2025;latte-1 ;1;120;0;0
;;;;;
;;;;;
;;;;;
;;;;;
